algoritmo,totalPedidos,pedidosEntregados,porcentajeEntregados,tiempoAhorrado
HC,50,50,100.0000,43743.2000
HC,50,50,100.0000,43742.4000
HC,50,50,100.0000,43741.7000
HC,50,50,100.0000,43753.7000
HC,50,50,100.0000,43749.9000
HC,50,50,100.0000,43743.3000
HC,50,50,100.0000,43745.3000
HC,50,50,100.0000,43750.8000
HC,50,50,100.0000,43740.2000
HC,50,50,100.0000,43740.0000
HC,100,100,100.0000,43647.2900
HC,100,100,100.0000,43663.3400
HC,100,100,100.0000,43664.1900
HC,100,100,100.0000,43663.4400
HC,100,100,100.0000,43676.8900
HC,100,100,100.0000,43612.7900
HC,100,100,100.0000,43677.7400
HC,100,100,100.0000,43670.3900
HC,100,100,100.0000,43667.8900
HC,100,100,100.0000,43668.0900
HC,200,200,100.0000,43099.0150
HC,200,200,100.0000,43075.1900
HC,200,200,100.0000,42987.9400
HC,200,200,100.0000,43143.4400
HC,200,200,100.0000,42731.6400
HC,200,200,100.0000,42977.8650
HC,200,200,100.0000,42924.8400
HC,200,200,100.0000,43013.0900
HC,200,200,100.0000,43163.9900
HC,200,200,100.0000,43179.2650
HC,400,369,92.2500,37121.6825
HC,400,391,97.7500,39678.9600
HC,400,388,97.0000,39222.7625
HC,400,366,91.5000,37232.0900
HC,400,387,96.7500,39746.8700
HC,400,387,96.7500,39984.4900
HC,400,384,96.0000,38492.3800
HC,400,380,95.0000,39106.0925
HC,400,387,96.7500,39208.3175
HC,400,392,98.0000,40115.8675
HC,800,424,53.0000,20781.6325
HC,800,468,58.5000,22397.7513
HC,800,416,52.0000,20443.8225
HC,800,462,57.7500,22484.5738
HC,800,494,61.7500,23292.1138
HC,800,438,54.7500,21065.8738
HC,800,459,57.3750,22590.9250
HC,800,423,52.8750,20583.0100
HC,800,462,57.7500,22965.1550
HC,800,419,52.3750,20286.3538
TS,50,50,100.0000,43747.1000
TS,50,50,100.0000,43749.7000
TS,50,50,100.0000,43738.6000
TS,50,50,100.0000,43753.5000
TS,50,50,100.0000,43755.2000
TS,50,50,100.0000,43741.1000
TS,50,50,100.0000,43741.9000
TS,50,50,100.0000,43743.6000
TS,50,50,100.0000,43741.0000
TS,50,50,100.0000,43749.6000
TS,100,100,100.0000,43657.3900
TS,100,100,100.0000,43682.2900
TS,100,100,100.0000,43649.2900
TS,100,100,100.0000,43605.5900
TS,100,100,100.0000,43668.2900
TS,100,100,100.0000,43662.4900
TS,100,100,100.0000,43654.3900
TS,100,100,100.0000,43665.1400
TS,100,100,100.0000,43670.5900
TS,100,100,100.0000,43679.2900
TS,200,200,100.0000,43011.9650
TS,200,200,100.0000,42979.9150
TS,200,200,100.0000,43009.8400
TS,200,200,100.0000,43151.2400
TS,200,200,100.0000,43166.2400
TS,200,200,100.0000,43097.9400
TS,200,200,100.0000,43031.3900
TS,200,200,100.0000,43231.3900
TS,200,200,100.0000,43114.5650
TS,200,200,100.0000,43226.9400
TS,400,385,96.2500,39447.5800
TS,400,392,98.0000,40284.8275
TS,400,394,98.5000,40137.6675
TS,400,395,98.7500,40578.8375
TS,400,387,96.7500,39782.1300
TS,400,394,98.5000,40629.1950
TS,400,392,98.0000,40211.3150
TS,400,384,96.0000,38956.6900
TS,400,383,95.7500,39039.3575
TS,400,385,96.2500,39332.0975
TS,800,402,50.2500,19652.2175
TS,800,406,50.7500,20162.5475
TS,800,382,47.7500,18022.0750
TS,800,483,60.3750,23149.0100
TS,800,409,51.1250,19919.6613
TS,800,432,54.0000,21031.5463
TS,800,422,52.7500,20883.7788
TS,800,445,55.6250,21959.0438
TS,800,384,48.0000,19192.2088
TS,800,428,53.5000,20936.0263
