algoritmo,totalPedidos,pedidosEntregados,porcentajeEntregados,tiempoAhorrado
HC,50,50,100.0000,43743.2000
HC,50,50,100.0000,43742.4000
HC,50,50,100.0000,43741.7000
HC,50,50,100.0000,43753.7000
HC,50,50,100.0000,43749.9000
HC,50,50,100.0000,43743.3000
HC,50,50,100.0000,43745.3000
HC,50,50,100.0000,43750.8000
HC,50,50,100.0000,43740.2000
HC,50,50,100.0000,43740.0000
HC,100,100,100.0000,43647.2900
HC,100,100,100.0000,43663.3400
HC,100,100,100.0000,43664.1900
HC,100,100,100.0000,43663.4400
HC,100,100,100.0000,43676.8900
HC,100,100,100.0000,43612.7900
HC,100,100,100.0000,43677.7400
HC,100,100,100.0000,43670.3900
HC,100,100,100.0000,43667.8900
HC,100,100,100.0000,43668.0900
HC,200,200,100.0000,43099.0150
HC,200,200,100.0000,43075.1900
HC,200,200,100.0000,42987.9400
HC,200,200,100.0000,43143.4400
HC,200,200,100.0000,42731.6400
HC,200,200,100.0000,42977.8650
HC,200,200,100.0000,42924.8400
HC,200,200,100.0000,43013.0900
HC,200,200,100.0000,43163.9900
HC,200,200,100.0000,43179.2650
HC,400,369,92.2500,37121.6825
HC,400,391,97.7500,39678.9600
HC,400,388,97.0000,39222.7625
HC,400,366,91.5000,37232.0900
HC,400,387,96.7500,39746.8700
HC,400,387,96.7500,39984.4900
HC,400,384,96.0000,38492.3800
HC,400,380,95.0000,39106.0925
HC,400,387,96.7500,39208.3175
HC,400,392,98.0000,40115.8675
HC,800,424,53.0000,20781.6325
HC,800,468,58.5000,22397.7513
HC,800,416,52.0000,20443.8225
HC,800,462,57.7500,22484.5738
HC,800,494,61.7500,23292.1138
HC,800,438,54.7500,21065.8738
HC,800,459,57.3750,22590.9250
HC,800,423,52.8750,20583.0100
HC,800,462,57.7500,22965.1550
HC,800,419,52.3750,20286.3538
