totalPedidos,pedidosEntregados,porcentajeEntregados,tiempoTotal
50,50,100.0000,43752.3000
50,50,100.0000,43734.0000
50,50,100.0000,43738.3000
50,50,100.0000,43752.4000
50,50,100.0000,43749.6000
50,50,100.0000,43747.6000
50,50,100.0000,43752.7000
50,50,100.0000,43750.1000
50,50,100.0000,43765.8000
50,50,100.0000,43747.5000
100,50,50.0000,21872.5000
100,50,50.0000,21870.6000
100,50,50.0000,21877.0000
100,50,50.0000,21868.1000
100,50,50.0000,21872.8500
100,50,50.0000,21875.7500
100,50,50.0000,21874.3000
100,50,50.0000,21875.8000
100,50,50.0000,21872.3000
100,50,50.0000,21873.7000
200,50,25.0000,10939.9250
200,50,25.0000,10933.8250
200,50,25.0000,10938.3250
200,50,25.0000,10936.9750
200,50,25.0000,10938.6750
200,50,25.0000,10937.2500
200,50,25.0000,10940.1000
200,50,25.0000,10935.9500
200,50,25.0000,10935.8750
200,50,25.0000,10936.4000
400,50,12.5000,5468.1250
400,50,12.5000,5468.1500
400,50,12.5000,5469.1375
400,50,12.5000,5469.0625
400,50,12.5000,5467.8625
400,50,12.5000,5468.0875
400,50,12.5000,5469.5625
400,50,12.5000,5469.6875
400,50,12.5000,5468.7000
400,50,12.5000,5468.3000
800,50,6.2500,2733.8813
800,50,6.2500,2734.0563
800,50,6.2500,2734.5563
800,50,6.2500,2734.6500
800,50,6.2500,2733.1000
800,50,6.2500,2734.1813
800,50,6.2500,2734.6563
800,50,6.2500,2733.3375
800,50,6.2500,2733.9250
800,50,6.2500,2734.5000
